state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,23,Danielle Gallant,Danielle,NA,Gallant,NA,100,1,0,0,NA,State House District 23,Clark,003,372354,female,1,1,0.580296893547421,0.06529125234582574,0.10417723267756955,0.02884284449898538,0.22139177693019838,0.580296893547421,0.06529125234582574,0.10417723267756955,0.02884284449898538,0.22139177693019838,White,White
NV,24,Michael Bellaty,Michael,NA,Bellaty,NA,200,0,1,0,NA,State House District 24,Washoe,031,2530843,male,1,2,0.5081028839108059,0.06140668067925233,0.22673046967117116,0.025081143197620892,0.17867882254114972,0.5081028839108059,0.06140668067925233,0.22673046967117116,0.025081143197620892,0.17867882254114972,White,White
NV,24,Erica Roth,Erica,NA,Roth,NA,200,0,0,0,NA,State House District 24,Washoe,031,243089,female,1,2,0.6375103899850572,0.004359523056138325,0.1893600845063155,0.02274189465025533,0.14602810780223374,0.6375103899850572,0.004359523056138325,0.1893600845063155,0.02274189465025533,0.14602810780223374,White,White
NV,24,"Terisia ""Teri"" Kolesnick",Terisia,Teri,Kolesnick,NA,100,0,0,0,NA,State House District 24,Washoe,031,8,female,1,1,0.008656889535813908,0.013195520344339823,0.003104233884843636,0.8358741092569246,0.13916924697807806,0.008656889535813908,0.013195520344339823,0.003104233884843636,0.8358741092569246,0.13916924697807806,Asian,Non-White
NV,25,Selena La Rue Hatch,Selena,La Rue,Hatch,NA,200,1,0,0,NA,State House District 25,Washoe,031,39788,female,0.99,2,0.8044385475779332,0.03362401645154938,0.005329368197651898,1.0377342195618887e-4,0.15650429435090943,0.8044385475779332,0.03362401645154938,0.005329368197651898,1.0377342195618887e-4,0.15650429435090943,White,White
NV,25,Diana Sande,Diana,NA,Sande,NA,100,0,0,0,NA,State House District 25,Washoe,031,848352,female,0.99,1,0.21127557254531457,0.003981076036564372,0.621457986032997,0.10454837626004124,0.05873698912508284,0.21127557254531457,0.003981076036564372,0.621457986032997,0.10454837626004124,0.05873698912508284,Hispanic,Non-White
NV,26,Rich DeLong,Rich,NA,DeLong,NA,100,1,0,0,NA,State House District 26,Washoe,031,114319,male,0.99,1,0.37875524304283953,0.001403812862158345,0.08756932492395438,0.15067714306108485,0.38159447610996294,0.37875524304283953,0.001403812862158345,0.08756932492395438,0.15067714306108485,0.38159447610996294,Other,Non-White
NV,26,Scott Savage,Scott,NA,Savage,NA,200,0,0,0,NA,State House District 26,Washoe,031,603708,male,1,2,0.8319178271918589,0.007157155117682416,0.011184441827281394,0.005326722680863354,0.14441385318231398,0.8319178271918589,0.007157155117682416,0.011184441827281394,0.005326722680863354,0.14441385318231398,White,White
NV,26,"Diane ""Nevada Moon"" Sullivan",Diane,Nevada Moon,Sullivan,NA,200,0,0,0,NA,State House District 26,Washoe,031,327365,female,1,2,0.9778300180388302,0.0115083045302301,0.0014406507433329155,1.0233826220165041e-4,0.009118688425405128,0.9778300180388302,0.0115083045302301,0.0014406507433329155,1.0233826220165041e-4,0.009118688425405128,White,White
NV,27,Heather Goulding,Heather,NA,Goulding,NA,200,0,0,0,NA,State House District 27,Washoe,031,351972,female,1,2,0.861752737766147,0.0023078711598574597,0.02876543079114744,0.007061769561262522,0.10011219072158549,0.861752737766147,0.0023078711598574597,0.02876543079114744,0.007061769561262522,0.10011219072158549,White,White
